Date,Open,High,Low,Close,Adj Close,Volume
2000-02-25,23.875,23.875,22.75,23.21875,15.235835075378418,2064000
2000-02-28,23.21875,23.4375,22.65625,23.25,15.25633430480957,1574400
2000-02-29,24.5,25.5625,23.84375,25.4375,16.69174575805664,2914000
2000-03-01,25.3125,26.0625,24.9375,25.0625,16.4456729888916,1258800
2000-03-02,25.0625,25.28125,24.5625,25.15625,16.50719451904297,734000
2000-03-03,25.03125,25.46875,24.5625,25.0625,16.4456729888916,632000
2000-03-06,24.75,24.78125,24.25,24.65625,16.179101943969727,991600
2000-03-07,24.53125,25.21875,24.375,24.5,16.07657814025879,1039000
2000-03-08,24.625,24.625,23.6875,23.9375,15.707468032836914,631800
2000-03-09,23.90625,25.25,23.8125,24.90625,16.343149185180664,913400
2000-03-10,24.78125,25.1875,24.15625,24.5,16.07657814025879,1050400
2000-03-13,23.875,24.0,22.5,22.875,15.010268211364746,1296800
2000-03-14,22.96875,23.5,22.75,23.25,15.25633430480957,991800
2000-03-15,22.9375,23.75,22.34375,23.1875,15.215324401855469,1259200
2000-03-16,23.71875,25.75,23.53125,25.375,16.650732040405273,1280600
2000-03-17,25.125,25.1875,23.8125,24.65625,16.179101943969727,1669000
2000-03-20,24.0,24.09375,23.28125,23.75,15.584429740905762,1283600
2000-03-21,23.5,23.65625,22.25,22.90625,15.030769348144531,2477400
2000-03-22,23.4375,24.4375,23.3125,23.71875,15.563928604125977,2219800
2000-03-23,23.6875,25.09375,23.6875,24.65625,16.179101943969727,1242200
2000-03-24,23.75,24.5,23.75,24.03125,15.7689847946167,1033000
2000-03-27,23.90625,23.96875,22.875,23.0625,15.133299827575684,1004800
2000-03-28,23.25,23.25,21.75,22.5,14.764199256896973,2671600
2000-03-29,22.5,23.21875,22.40625,23.0,15.092288970947266,1172000
2000-03-30,22.875,23.875,22.84375,23.3125,15.297344207763672,1201600
2000-03-31,23.1875,23.21875,22.125,22.75,14.928243637084961,1204800
2000-04-03,22.4375,22.59375,22.25,22.5,14.764199256896973,1394800
2000-04-04,22.875,23.8125,22.5,23.0,15.092288970947266,1901600
2000-04-05,23.4375,23.875,23.125,23.4375,15.379373550415039,1456200
2000-04-06,23.25,24.25,23.25,23.84375,15.645949363708496,987200
2000-04-07,23.8125,24.0625,23.25,23.4375,15.379373550415039,600600
2000-04-10,23.1875,23.3125,22.40625,22.6875,14.887229919433594,1061200
2000-04-11,22.5625,23.5,22.0,22.15625,14.53863525390625,1514800
2000-04-12,22.40625,23.28125,22.40625,22.625,14.84621810913086,1166800
2000-04-13,22.625,22.625,21.40625,21.46875,14.087507247924805,1637200
2000-04-14,21.59375,22.125,21.375,21.53125,14.128512382507324,1400600
2000-04-17,21.3125,21.53125,20.9375,21.375,14.02598762512207,1317200
2000-04-18,22.0625,24.9375,22.03125,24.4375,16.035552978515625,4393800
2000-04-19,24.625,25.0625,24.25,24.90625,16.343149185180664,2053000
2000-04-20,25.0,25.53125,24.46875,24.75,16.240619659423828,1029600
2000-04-24,24.25,26.0625,24.1875,25.9375,17.019845962524414,2541200
2000-04-25,25.3125,27.46875,25.1875,27.1875,17.840072631835938,2138800
2000-04-26,26.6875,27.65625,26.65625,27.5,18.04513931274414,953200
