Date,Open,High,Low,Close,Adj Close,Volume
2000-02-25,17.875,17.875,17.375,17.5625,6.742469787597656,477600
2000-02-28,17.8125,18.125,17.5625,18.0,6.910436153411865,505400
2000-02-29,17.8125,17.9375,17.5,17.5625,6.742469787597656,535900
2000-03-01,17.625,17.6875,17.0625,17.1875,6.598505020141602,512300
2000-03-02,17.0625,17.25,17.0,17.0625,6.550516605377197,642200
2000-03-03,17.125,17.5625,17.125,17.5,6.718480110168457,405500
2000-03-06,17.375,17.375,16.25,16.4375,6.310569763183594,967400
2000-03-07,16.6875,16.75,16.3125,16.4375,6.310569763183594,1814900
2000-03-08,16.5625,16.8125,16.3125,16.375,6.286575794219971,1498300
2000-03-09,16.5,16.625,16.125,16.25,6.238585948944092,1129600
2000-03-10,16.3125,16.75,16.25,16.625,6.38255500793457,635300
2000-03-13,16.6875,16.9375,16.5625,16.9375,6.502527236938477,636700
2000-03-14,17.1875,17.5,17.125,17.5,6.718480110168457,873700
2000-03-15,17.5,18.625,17.5,18.625,7.15038537979126,898300
2000-03-16,18.875,19.9375,18.75,19.9375,7.654266357421875,894300
2000-03-17,19.9375,20.1875,19.625,19.875,7.630273342132568,1242200
2000-03-20,19.875,19.9375,19.375,19.5,7.486304759979248,1416800
2000-03-21,19.4375,19.4375,18.8125,19.0,7.294349193572998,639000
2000-03-22,18.875,18.9375,18.25,18.5625,7.126389026641846,367700
2000-03-23,18.5625,18.875,18.5625,18.8125,7.222364902496338,500300
2000-03-24,18.6875,18.9375,18.5625,18.875,7.246362209320068,648100
2000-03-27,18.875,19.125,18.8125,18.875,7.246362209320068,888400
2000-03-28,18.8125,19.125,18.8125,18.875,7.246362209320068,269400
2000-03-29,18.875,19.1875,18.8125,19.125,7.342339038848877,764900
2000-03-30,19.25,20.0,19.25,19.875,7.630273342132568,1726400
2000-03-31,19.8125,19.9375,19.625,19.875,7.630273342132568,566900
2000-04-03,19.875,19.9375,19.5,19.75,7.582283973693848,208100
2000-04-04,19.75,20.4375,19.75,20.3125,7.798235893249512,844900
2000-04-05,20.375,21.1875,20.3125,20.5625,7.8942084312438965,495900
2000-04-06,20.5,20.8125,20.125,20.25,7.774238586425781,391900
2000-04-07,20.1875,20.25,19.875,20.0625,7.702253818511963,701300
2000-04-10,20.0,20.875,19.9375,20.8125,7.990189075469971,2409100
2000-04-11,20.3125,20.875,20.3125,20.6875,8.083186149597168,469300
2000-04-12,20.75,21.1875,20.3125,20.3125,7.936662673950195,645400
2000-04-13,20.3125,21.0625,20.25,21.0625,8.229706764221191,492500
2000-04-14,21.0,21.0625,20.5,20.625,8.058762550354004,536600
2000-04-17,20.625,20.6875,19.875,20.3125,7.936662673950195,782800
