Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,95.30876922607422,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,91.58161926269533,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,91.7455062866211,12177900
2000-01-06,139.625,141.5,137.75,137.75,90.2709732055664,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,95.51360321044922,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,95.84127807617188,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,94.69445037841795,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,93.75242614746094,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,95.0221176147461,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,96.31230926513672,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,95.55453491210938,6488500
2000-01-19,145.3125,147.0,145.0,147.0,96.33274841308594,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,94.8582763671875,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,94.65348052978516,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,91.97074127197266,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,93.0151596069336,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,92.27791595458984,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,91.90934753417967,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,89.04228210449219,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,91.4587631225586,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,92.3598861694336,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,92.44174194335938,6205900
2000-02-03,140.875,143.25,140.0,143.1875,93.83433532714844,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,93.44524383544922,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,93.3018798828125,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,94.5715560913086,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,92.58512115478516,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,92.76945495605467,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,90.8853530883789,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,91.4178237915039,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,92.45201873779295,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,91.09014892578124,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,90.61912536621094,7584200
2000-02-18,138.875,138.875,134.625,135.3125,88.67364501953125,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,88.44834899902344,16415400
2000-02-23,135.625,137.46875,134.5,136.5625,89.4928207397461,12119000
2000-02-24,136.6875,137.03125,133.09375,133.8125,87.69062042236328,17375000
2000-02-25,135.1875,136.71875,133.125,133.328125,87.37325286865234,10559900
2000-02-28,133.375,136.6875,132.71875,136.125,89.2060546875,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,90.06619262695312,8242500
2000-03-01,137.625,139.0,137.21875,138.4375,90.72152709960938,6868000
2000-03-02,138.6875,139.125,137.34375,138.53125,90.78294372558594,7600200
2000-03-03,140.4375,141.71875,139.71875,141.125,92.48274230957033,12770300
2000-03-06,140.8125,141.34375,138.75,139.75,91.58161926269533,11967100
2000-03-07,140.0,140.15625,135.21875,137.046875,89.8102035522461,20062000
2000-03-08,136.46875,137.84375,135.03125,136.875,89.69754791259766,11808500
2000-03-09,137.25,140.875,136.125,140.875,92.31890869140624,5500900
2000-03-10,140.1875,142.0,139.53125,140.125,91.827392578125,7924600
2000-03-13,136.6875,140.46875,135.6875,138.59375,90.82391357421876,10540500
2000-03-14,139.28125,140.09375,136.15625,136.625,89.53376770019531,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,91.62261962890624,10300800
2000-03-16,141.625,146.84375,140.875,146.34375,95.90270233154295,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,96.53653717041016,10272900
2000-03-20,146.875,147.34375,144.78125,146.1875,96.04378509521484,12502300
2000-03-21,145.53125,149.75,144.5,149.1875,98.01473236083984,13612600
2000-03-22,149.5625,150.84375,148.6875,150.09375,98.61016082763672,8260000
2000-03-23,149.15625,153.46875,149.15625,152.65625,100.29368591308594,11654500
2000-03-24,152.875,155.75,151.71875,153.5625,100.88910675048828,11462900
2000-03-27,153.375,153.78125,151.8125,151.9375,99.82146453857422,8798600
2000-03-28,151.25,152.984375,150.59375,151.0625,99.2466049194336,6334400
2000-03-29,151.5625,152.484375,149.65625,151.21875,99.34932708740234,6747500
2000-03-30,150.15625,151.921875,147.125,148.6875,97.68624114990234,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,98.794921875,9249100
2000-04-03,150.125,151.25,148.6875,151.25,99.36981201171876,8508200
2000-04-04,151.75,153.0,141.390625,150.125,98.63067626953124,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,98.01473236083984,8387200
2000-04-06,150.25,151.6875,149.0,150.484375,98.86676025390624,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,99.49295806884766,6023600
2000-04-10,151.75,153.109375,150.3125,150.84375,99.10289001464844,9624200
2000-04-11,150.0,151.625,148.375,150.40625,98.8154296875,9006400
2000-04-12,150.375,151.15625,146.15625,146.28125,96.10537719726562,10779200
2000-04-13,147.46875,148.15625,143.78125,144.25,94.77088165283205,12225800
2000-04-14,142.625,142.8125,133.5,136.0,89.3506851196289,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,92.47137451171876,23918200
2000-04-18,140.5625,144.46875,139.78125,144.46875,94.9145736694336,11069200
2000-04-19,144.5,145.125,142.53125,143.125,94.0317611694336,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,94.48345184326172,8537600
2000-04-24,141.5,143.3125,140.5,142.25,93.45685577392578,12893100
2000-04-25,144.625,148.15625,144.4375,148.15625,97.33724212646484,14102000
2000-04-26,147.96875,148.75,146.0,146.484375,96.23883056640624,7711100
2000-04-27,143.0,147.34375,143.0,146.0,95.9206314086914,15595300
2000-04-28,147.0,147.859375,145.0625,145.09375,95.32518005371094,8743400
2000-05-01,146.5625,148.484375,145.84375,147.0625,96.61863708496094,7328300
2000-05-02,145.5,147.125,144.125,144.125,94.6887435913086,9411900
2000-05-03,144.0,144.0,139.78125,140.75,92.47137451171876,12630700
2000-05-04,142.0,142.359375,140.75,141.8125,93.16943359375,5963600
2000-05-05,141.0625,144.0,140.9375,143.53125,94.29865264892578,7862400
2000-05-08,142.75,143.375,141.84375,142.453125,93.59029388427734,5064100
2000-05-09,143.0625,143.40625,140.265625,141.3125,92.8409194946289,5620300
2000-05-10,140.5,140.96875,137.75,138.125,90.74674987792967,10293900
2000-05-11,140.125,141.5,139.125,141.28125,92.82041931152344,7091100
2000-05-12,141.8125,143.46875,141.625,142.8125,93.82643127441406,5960800
2000-05-15,142.75,145.609375,142.0,145.28125,95.44837951660156,4441300
2000-05-16,146.5625,147.71875,145.3125,146.6875,96.37232971191406,8192200
2000-05-17,145.6875,146.1875,144.46875,145.15625,95.36627960205078,5907200
2000-05-18,145.625,146.3125,143.375,143.375,94.19598388671876,4325600
2000-05-19,142.5625,143.234375,140.40625,141.125,92.7177734375,6518400
2000-05-22,141.25,141.46875,137.0,140.0625,92.01970672607422,10839400
2000-05-23,140.4375,140.8125,137.5625,138.0,90.66470336914062,7979200
2000-05-24,138.0,140.6875,136.5,140.25,92.14292907714844,11081500
2000-05-25,140.6875,141.8125,137.71875,137.84375,90.56202697753906,8278900
2000-05-26,138.8125,139.6875,137.328125,138.0,90.66470336914062,4814000
2000-05-30,140.0,142.9375,139.46875,142.5,93.62112426757812,5362700
2000-05-31,142.5625,144.0,142.09375,142.8125,93.82643127441406,6056500
2000-06-01,143.6875,145.4375,143.0,145.3125,95.46893310546876,8961600
2000-06-02,148.9375,149.09375,147.484375,147.84375,97.1319580078125,8962200
2000-06-05,147.46875,148.21875,146.875,147.125,96.65969848632812,6998100
2000-06-06,146.625,147.78125,145.90625,146.46875,96.2285614013672,4858900
2000-06-07,146.625,148.0,146.0,147.484375,96.89581298828124,4919500
2000-06-08,147.5,147.75,146.0625,146.90625,96.51600646972656,5723100
2000-06-09,147.5,147.96875,145.625,146.59375,96.31068420410156,3085300
2000-06-12,146.96875,146.96875,144.875,144.875,95.1814956665039,3678900
2000-06-13,144.8125,147.75,144.625,147.59375,96.96772003173828,6558700
2000-06-14,148.25,148.875,147.1875,147.84375,97.1319580078125,6420500
2000-06-15,148.125,148.75,146.84375,148.15625,97.33724212646484,5881200
2000-06-16,148.3125,148.3125,145.875,146.59375,96.53742980957033,5567900
2000-06-19,146.46875,149.15625,146.25,148.46875,97.7721710205078,5106900
2000-06-20,148.1875,148.875,147.0,147.9375,97.42237854003906,6480000
2000-06-21,146.9375,148.4375,146.890625,147.875,97.38121795654295,3115000
2000-06-22,147.5625,147.6875,145.0,145.625,95.89948272705078,7490500
2000-06-23,145.8125,146.125,143.875,144.375,95.0763168334961,4863300
2000-06-26,145.375,146.25,144.875,146.234375,96.3008041381836,5201300
2000-06-27,145.984375,146.71875,145.015625,145.15625,95.59078216552734,4159500
2000-06-28,145.625,146.984375,145.3125,145.5625,95.8582992553711,5347700
2000-06-29,144.75,145.75,143.515625,144.1875,94.9528350830078,6345700
