Date,value
1914-01-28,2.0
1914-02-28,1.0
1914-03-28,1.0
1914-04-28,0.0
1914-05-28,2.1
1914-06-28,1.0
1914-07-28,1.0
1914-08-28,3.0
1914-09-28,2.0
1914-10-28,1.0
1914-11-28,1.0
1914-12-28,1.0
1915-01-28,1.0
1915-02-28,1.0
1915-03-28,0.0
1915-04-28,2.0
1915-05-28,2.0
1915-06-28,2.0
1915-07-28,1.0
1915-08-28,-1.0
1915-09-28,-1.0
1915-10-28,1.0
1915-11-28,1.0
1915-12-28,2.0
1916-01-28,3.0
1916-02-28,4.0
1916-03-28,6.1
1916-04-28,6.0
1916-05-28,5.9
1916-06-28,6.9
1916-07-28,6.9
1916-08-28,7.9
1916-09-28,9.9
1916-10-28,10.8
1916-11-28,11.7
1916-12-28,12.6
1917-01-28,12.5
1917-02-28,15.4
1917-03-28,14.3
1917-04-28,18.9
1917-05-28,19.6
1917-06-28,20.4
1917-07-28,18.5
1917-08-28,19.3
1917-09-28,19.8
1917-10-28,19.5
1917-11-28,17.4
1917-12-28,18.1
1918-01-28,19.7
1918-02-28,17.5
1918-03-28,16.7
1918-04-28,12.7
1918-05-28,13.3
1918-06-28,13.1
1918-07-28,18.0
1918-08-28,18.5
1918-09-28,18.0
1918-10-28,18.5
1918-11-28,20.7
1918-12-28,20.4
1919-01-28,17.9
1919-02-28,14.9
1919-03-28,17.1
1919-04-28,17.6
1919-05-28,16.6
1919-06-28,15.0
1919-07-28,15.2
1919-08-28,14.9
1919-09-28,13.4
1919-10-28,13.1
1919-11-28,13.5
1919-12-28,14.5
1920-01-28,17.0
1920-02-28,20.4
1920-03-28,20.1
1920-04-28,21.6
1920-05-28,21.9
1920-06-28,23.7
1920-07-28,19.5
1920-08-28,14.7
1920-09-28,12.4
1920-10-28,9.9
1920-11-28,7.0
1920-12-28,2.6
1921-01-28,-1.6
1921-02-28,-5.6
1921-03-28,-7.1
1921-04-28,-10.8
1921-05-28,-14.1
1921-06-28,-15.8
1921-07-28,-14.9
1921-08-28,-12.8
1921-09-28,-12.5
1921-10-28,-12.1
1921-11-28,-12.1
1921-12-28,-10.8
1922-01-28,-11.1
1922-02-28,-8.2
1922-03-28,-8.7
1922-04-28,-7.7
1922-05-28,-5.6
1922-06-28,-5.1
1922-07-28,-5.1
1922-08-28,-6.2
1922-09-28,-5.1
1922-10-28,-4.6
1922-11-28,-3.4
1922-12-28,-2.3
1923-01-28,-0.6
1923-02-28,-0.6
1923-03-28,0.6
1923-04-28,1.2
1923-05-28,1.2
1923-06-28,1.8
1923-07-28,2.4
1923-08-28,3.0
1923-09-28,3.6
1923-10-28,3.6
1923-11-28,3.0
1923-12-28,2.4
1924-01-28,3.0
1924-02-28,2.4
1924-03-28,1.8
1924-04-28,0.6
1924-05-28,0.6
1924-06-28,0.0
1924-07-28,-0.6
1924-08-28,-0.6
1924-09-28,-0.6
1924-10-28,-0.6
1924-11-28,-0.6
1924-12-28,0.0
1925-01-28,0.0
1925-02-28,0.0
1925-03-28,1.2
1925-04-28,1.2
1925-05-28,1.8
1925-06-28,2.9
1925-07-28,3.5
1925-08-28,4.1
1925-09-28,3.5
1925-10-28,2.9
1925-11-28,4.7
1925-12-28,3.5
1926-01-28,3.5
1926-02-28,4.1
1926-03-28,2.9
1926-04-28,4.1
1926-05-28,2.9
1926-06-28,1.1
1926-07-28,-1.1
1926-08-28,-1.7
1926-09-28,-1.1
1926-10-28,-0.6
1926-11-28,-1.7
1926-12-28,-1.1
1927-01-28,-2.2
1927-02-28,-2.8
1927-03-28,-2.8
1927-04-28,-3.4
1927-05-28,-2.2
1927-06-28,-0.6
1927-07-28,-1.1
1927-08-28,-1.1
1927-09-28,-1.1
1927-10-28,-1.1
1927-11-28,-2.3
1927-12-28,-2.3
1928-01-28,-1.1
1928-02-28,-1.7
1928-03-28,-1.2
1928-04-28,-1.2
1928-05-28,-1.1
1928-06-28,-2.8
1928-07-28,-1.2
1928-08-28,-0.6
1928-09-28,0.0
1928-10-28,-1.1
1928-11-28,-0.6
1928-12-28,-1.2
1929-01-28,-1.2
1929-02-28,0.0
1929-03-28,-0.6
1929-04-28,-1.2
1929-05-28,-1.2
1929-06-28,0.0
1929-07-28,1.2
1929-08-28,1.2
1929-09-28,0.0
1929-10-28,0.6
1929-11-28,0.6
1929-12-28,0.6
1930-01-28,0.0
1930-02-28,-0.6
1930-03-28,-0.6
1930-04-28,0.6
1930-05-28,-0.6
1930-06-28,-1.8
1930-07-28,-4.0
1930-08-28,-4.6
1930-09-28,-4.0
1930-10-28,-4.6
1930-11-28,-5.2
1930-12-28,-6.4
1931-01-28,-7.0
1931-02-28,-7.6
1931-03-28,-7.7
1931-04-28,-8.8
1931-05-28,-9.5
1931-06-28,-10.1
1931-07-28,-9.0
1931-08-28,-8.5
1931-09-28,-9.6
1931-10-28,-9.7
1931-11-28,-10.4
1931-12-28,-9.3
1932-01-28,-10.1
1932-02-28,-10.2
1932-03-28,-10.3
1932-04-28,-10.3
1932-05-28,-10.5
1932-06-28,-9.9
1932-07-28,-9.9
1932-08-28,-10.6
1932-09-28,-10.7
1932-10-28,-10.7
1932-11-28,-10.2
1932-12-28,-10.3
1933-01-28,-9.8
1933-02-28,-9.9
1933-03-28,-10.0
1933-04-28,-9.4
1933-05-28,-8.0
1933-06-28,-6.6
1933-07-28,-3.7
1933-08-28,-2.2
1933-09-28,-1.5
1933-10-28,-0.8
1933-11-28,0.0
1933-12-28,0.8
1934-01-28,2.3
1934-02-28,4.7
1934-03-28,5.6
1934-04-28,5.6
1934-05-28,5.6
1934-06-28,5.5
1934-07-28,2.3
1934-08-28,1.5
1934-09-28,3.0
1934-10-28,2.3
1934-11-28,2.3
1934-12-28,1.5
1935-01-28,3.0
1935-02-28,3.0
1935-03-28,3.0
1935-04-28,3.8
1935-05-28,3.8
1935-06-28,2.2
1935-07-28,2.2
1935-08-28,2.2
1935-09-28,0.7
